timestamp,duration,initial_mode,end_line_reason,bias,first_6_outcomes,profit,all_outcomes_first_shoe,all_outcomes_second_shoe
20250402_210624,12,PPP,"only 1 cube value left, lower than 20",,PBBBBB,378.0,PBBBBBPBPBPBBBBBPPBPPPBTPBPBPBBPBBPB,
20250211_095412,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,PPPPBP,215.0,PPPPBPBPBPTPBBBTTTBTPBBBPPBTPBTBPBTPBBBBBBPPPBTBPBBPPBPP,
20250211_102431,PPP,"too many early ties (<12 bets, 3 ties)",B,BBPBBB,223.5,TBBPBBBBBPPBPBTBBPBTBBT,
20250211_103635,PPP,quick profit (200+ in 5 min),B,BPBBBP,216.5,BPBTBBPBBBBTPBB,
20250211_105142,BBB,good profit (250+ in 10 min),,PPPBPB,270,PPPBPBBPBPPBBPBPPPPP,
20250211_111541,PPP,excellent profit (300+),,BBBPBB,327.0,BBBPBBTBBBBPBBPBTPPBBPPBBPPBBPPBBPPBBPBB,
20250211_114547,PPP,Shoe finished,,BBBBBP,-1094.5,BBBBBPPPBTPPPBBBBBPBBPBBTBPBTTTPBPPPBPBPPPPBTPBBPTPPPPPBBBBPBBPBP,
20250211_121900,BBB,profitable with too many bad streaks (4 streaks),,PPPPBP,47.5,PPPPBPBBPPPBTPBBBBBBPBPPBBBPPPBBPBBBBPBBBBBPB,
20250211_133412,BBB,profitable with too many bad streaks (4 streaks),P,BPPPBP,18.5,BPPPBPPBBPBPPPBTPBPPBBTBPBPPPBBTPTBPPBTBBBPTPBBBBBPPBBTBB,
20250211_134901,BBB,"decent profit with many bad streaks (150+, 3 streaks)",,PBBBPB,206.0,PBBBPBPTPBPPPPBBPBBBPBBTTBBPBPPBPBPP,
20250211_141512,BBB,"decent profit with many bad streaks (150+, 3 streaks)",P,PBBPPP,171.5,PBBPPPPPPBBBPBBBPBPPPTPBPBPTBBPBPBBPPBPPPTPBPTPPBPBBTTBBBB,
20250211_143652,BBB,excellent profit (300+),P,PBBPPP,376.5,PBBPPPPPPBPBBPPBBPBPPBPPBPPBBPBBPBPPBPBBTBBBPPBPP,
20250211_144806,BBB,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",,PPPBPP,194.0,PPPBPPBPPBPTPBBBBBBBBPBBB,
20250211_153358,PPP,quick profit (200+ in 5 min),,PBBBBB,223.0,PBBBBBPBBBPBPBTBTBBB,
20250211_154059,BBB,good profit (250+ in 10 min),,BBPPPP,280.0,BBPPPPBBBPBPPPTPBPPBPTPPP,
20250211_160003,BBB,excellent profit (300+),,BBPPPP,310.0,BBPPPPBPBBPBPBPBPBBBBBPBBPBTBPBPPBPBPPPPBPPBPP,
20250211_162053,PPP,"decent profit with bad streaks (150+ in 10 min, 2 streaks)",,PBBBBB,161.5,PBBBTBBBBBTBPPPPPPBPPPTBTPPPB,
20250211_164357,PPP,excellent profit (300+),,PBBBBP,314.5,TPBBBBPBBBPBBBPBPPPPBBPPPBBPBPPBPBPBPTBBBBPBPBB,
